training/action_critic/adv,training/action_critic/critic_loss,training/action_critic/q_max,training/action_critic/q_mean,training/action_critic/q_min,training/action_critic/v_max,training/action_critic/v_mean,training/action_critic/v_min,training/action_critic/value_loss,training/actor/bc_flow_loss,training/chunk_critic/critic_loss,training/chunk_critic/q_logit_max,training/chunk_critic/q_logit_mean,training/chunk_critic/q_logit_min,training/chunk_critic/q_max,training/chunk_critic/q_mean,training/chunk_critic/q_min,training/goal_proposer/goal_proposer_loss,training/grad/max,training/grad/min,training/grad/norm,validation/action_critic/adv,validation/action_critic/critic_loss,validation/action_critic/q_max,validation/action_critic/q_mean,validation/action_critic/q_min,validation/action_critic/v_max,validation/action_critic/v_mean,validation/action_critic/v_min,validation/action_critic/value_loss,validation/actor/bc_flow_loss,validation/chunk_critic/critic_loss,validation/chunk_critic/q_logit_max,validation/chunk_critic/q_logit_mean,validation/chunk_critic/q_logit_min,validation/chunk_critic/q_max,validation/chunk_critic/q_mean,validation/chunk_critic/q_min,validation/goal_proposer/goal_proposer_loss,time/epoch_time,time/total_time,step
0.0029187615,0.16867861,0.981219,0.8106791,0.5221862,0.94359946,0.8355063,0.6020325,0.022478772,0.7595626,0.4538003,4.784931,1.6682215,0.045801647,0.9917146,0.79385716,0.51144844,1.9005235,3.3579266,-6.8092504,134.45067,-0.00011454779,0.21107666,0.9718131,0.7916731,0.513169,0.9491724,0.82960224,0.6123827,0.026147995,0.73524696,0.47772026,4.7587557,1.6126775,0.044085447,0.9914967,0.7860914,0.5110196,1.667717,0.6699440808296203,669.9441621303558,1000
0.00034322857,0.1478215,0.9944925,0.69887465,0.3895584,0.9907183,0.72291017,0.43430611,0.03959245,0.6818649,0.477419,6.4211316,1.3626298,-0.557376,0.9983758,0.6747013,0.36415482,1.320405,1.4245424,-0.93168986,45.134323,0.0045706253,0.17795733,0.99392396,0.65709394,0.38163164,0.98879623,0.6811074,0.4326529,0.033191785,0.7075338,0.52381384,5.989451,1.0707842,-0.5604868,0.9975012,0.6369551,0.36343485,1.3841807,0.03106362247467041,701.0078103542328,2000
-0.0014359851,0.20531939,0.99651825,0.6150128,0.28219867,0.9933436,0.62868917,0.33842477,0.03225226,0.6147349,0.47907543,6.690796,1.0408376,-0.91612434,0.99875927,0.5985264,0.28574824,1.2262657,1.5642176,-1.450247,45.290253,-4.786649e-06,0.20705473,0.9966749,0.63862187,0.2677025,0.9947373,0.65402514,0.32822698,0.035408013,0.63557744,0.4763043,6.83397,1.2210215,-0.99933946,0.99892455,0.6215453,0.2690713,1.3343444,0.03173126196861267,732.7391002178192,3000
-0.0025317715,0.16926739,0.9962775,0.55911875,0.24606027,0.99302036,0.5607783,0.26607093,0.030422743,0.6166961,0.49237013,7.261966,0.5981373,-1.3408468,0.9992987,0.52721554,0.20737083,1.2169442,2.974818,-1.5017695,61.192978,0.0024155225,0.15056255,0.99715614,0.6176212,0.24038728,0.9942301,0.6146723,0.27152315,0.037888326,0.59923357,0.47480115,7.845877,1.1714386,-1.3342774,0.99960876,0.59820575,0.20845273,1.1638644,0.0319898247718811,764.728954076767,4000
0.0016500261,0.17038506,0.99405986,0.5689165,0.2314465,0.99333596,0.5685872,0.2285523,0.03252062,0.56887496,0.47918612,6.138787,0.64091647,-1.3648962,0.9978471,0.5420475,0.2034457,1.1221331,1.764725,-1.2483398,39.237667,0.0011393395,0.12752537,0.9958119,0.58073103,0.23692745,0.99377924,0.5743308,0.2338301,0.025671413,0.5740067,0.4635391,5.955722,0.62874293,-1.366568,0.99741566,0.5413052,0.20317492,1.0871389,0.03205508589744568,796.7840638160706,5000
0.002971934,0.20669298,0.99524325,0.5599435,0.19304009,0.9937689,0.56171167,0.2124379,0.034038365,0.49962112,0.46368542,6.146744,0.7099984,-1.4916389,0.9978642,0.5494732,0.18367587,1.002136,1.395913,-1.1999695,35.27758,0.00026583887,0.18285155,0.99510026,0.58982414,0.20393434,0.9940475,0.58669794,0.22841549,0.032692876,0.5420201,0.4560301,6.4584756,0.8678164,-1.4475249,0.9984353,0.5716495,0.19038276,0.90120363,0.032171404123306276,828.9554936885834,6000
-0.0013490941,0.1371512,0.996068,0.57911867,0.19981115,0.99397415,0.5770538,0.20466809,0.031344336,0.52258134,0.4319348,7.5921774,0.9152716,-1.5615703,0.99949586,0.55583423,0.17342144,0.88748264,1.5825068,-1.3634979,34.302807,-0.0012196167,0.13087635,0.99587005,0.54431087,0.20244406,0.99344015,0.5410477,0.20302528,0.037100546,0.5536736,0.47435513,7.1650004,0.55522937,-1.6446834,0.9992274,0.5107446,0.1618288,0.95100117,0.03204733300209046,861.0028538703918,7000
-0.0010069613,0.21662347,0.9977277,0.54582447,0.18475471,0.99440205,0.55560434,0.1992215,0.025531508,0.5648012,0.4398361,6.492031,0.84175557,-1.5695813,0.99848676,0.5392751,0.1722761,0.9810978,2.2332623,-1.6301267,43.681583,0.0019233805,0.18530305,0.9963541,0.5787658,0.1806284,0.99321705,0.582199,0.18665124,0.0327874,0.51819336,0.41818172,6.3079295,1.020589,-1.6301867,0.9981815,0.5681494,0.16380478,0.93918,0.032080703258514406,893.083582162857,8000
0.0019264681,0.23273163,0.9955226,0.5296673,0.17020686,0.9951774,0.5387449,0.18545996,0.026970044,0.53001064,0.43889448,6.98727,0.7935364,-1.5659238,0.9990773,0.53059673,0.17279826,1.156811,7.1577015,-5.0864644,104.84136,-0.0006484109,0.20408106,0.9957147,0.5388352,0.17407972,0.99420255,0.5491275,0.19095664,0.024235142,0.513682,0.45253858,6.7525887,0.7787115,-1.6038735,0.9988335,0.5340841,0.16744095,0.8885284,0.032032676458358764,925.116287946701,9000
0.0040721027,0.23615943,0.9967302,0.5912227,0.15855923,0.99337405,0.60133505,0.17533952,0.04491371,0.47628832,0.43333408,6.714721,1.2058681,-1.6450518,0.9987885,0.59343517,0.16177882,0.7648747,2.3274565,-1.7255867,45.845795,0.0017139668,0.25233936,0.9971161,0.52747977,0.15597382,0.99423295,0.53966844,0.17179672,0.037528075,0.5209424,0.46775076,6.5828533,0.6613752,-1.6430262,0.998618,0.52825516,0.1620537,0.84015095,0.03197894167900085,957.0952541828156,10000
